Voltage,Raw
0.201,db645b
0.20199999999999999,c39582
0.203,b47ae2
0.204,a978d6
0.205,a2d0e7
0.20600000000000002,9e76ca
0.207,9b22d2
0.20800000000000002,989376
0.209,974bc8
0.21,95c291
0.21100000000000002,943959
0.212,93b647
0.213,933335
0.214,91a9fd
0.215,916874
0.21600000000000003,9126eb
0.217,9020c6
0.218,8f9db4
0.21899999999999997,9020c6
0.22,8f1aa1
0.221,8ed918
0.222,8e978f
0.223,8e978f
0.22399999999999998,8d916a
0.225,8d916a
0.226,8dd2f3
0.22699999999999998,8d0e57
0.228,8c8b45
0.22899999999999998,8d4fe1
0.23,8c8b45
0.231,8c49bc
0.23199999999999998,8c8b45
0.233,8c49bc
0.23399999999999999,8b8520
0.235,8b8520
0.23600000000000002,8bc6a9
0.237,8b4397
0.23800000000000002,8b020e
0.239,8b8520
0.24,8b4397
0.24100000000000002,8ac084
0.242,8b020e
0.243,8b020e
0.244,89fbe9
0.245,8a7efb
0.24600000000000002,8ac084
0.247,8a3d72
0.248,89fbe9
0.249,8a7efb
0.25,89fbe9
0.251,89ba60
0.252,89fbe9
0.253,8a3d72
0.254,8978d6
0.255,89ba60
0.256,89fbe9
0.257,89374d
0.258,89374d
0.259,89fbe9
0.26,8978d6
0.261,8978d6
0.262,8978d6
0.263,89ba60
0.264,89374d
0.265,89374d
0.266,89ba60
0.267,89374d
0.268,88f5c4
0.26899999999999996,89ba60
0.27,89374d
0.271,89374d
0.272,8978d6
0.273,89ba60
0.27399999999999997,88f5c4
0.275,89374d
0.276,8978d6
0.27699999999999997,8978d6
0.278,89374d
0.27899999999999997,89fbe9
0.28,8978d6
0.281,8978d6
0.282,89ba60
0.28300000000000003,89fbe9
0.284,89374d
0.285,89ba60
0.28600000000000003,89fbe9
0.287,8978d6
0.28800000000000003,8978d6
0.289,8a3d72
0.29,89ba60
0.29100000000000004,89ba60
0.292,89fbe9
0.293,8a7efb
0.294,8978d6
0.295,89ba60
0.29600000000000004,8a3d72
0.297,89fbe9
0.298,89fbe9
0.299,8ac084
0.3,9ef9dc
0.299,deb853
0.298,0b5dcc
0.297,26e978
0.29600000000000004,37ced8
0.295,43d709
0.294,4c0830
0.293,5126e8
0.292,54fdf3
0.29100000000000004,589374
0.29,5a9fbd
0.289,5c6a7e
0.28800000000000003,5e353e
0.287,5fffff
0.28600000000000003,608311
0.285,620c48
0.284,6353f7
0.28300000000000003,639580
0.282,649ba5
0.281,6624dc
0.28,666665
0.27899999999999997,672b01
0.278,67ae13
0.27699999999999997,68b438
0.276,68b438
0.275,6978d4
0.27399999999999997,6a7ef9
0.273,6a7ef9
0.272,6b020b
0.271,6c49b9
0.27,6c49b9
0.26899999999999996,6ccccb
0.268,6d9167
0.267,6e147a
0.266,6dd2f0
0.265,6e978c
0.264,6f5c28
0.263,6f5c28
0.262,6f9db1
0.261,70a3d6
0.26,70a3d6
0.259,70a3d6
0.258,716871
0.257,71eb84
0.256,71eb84
0.255,726e96
0.254,72f1a9
0.253,72f1a9
0.252,733332
0.251,743957
0.25,743957
0.249,743957
0.248,74bc69
0.247,758105
0.24600000000000002,74fdf2
0.245,758105
0.244,7645a0
0.243,7645a0
0.242,76872a
0.24100000000000002,774bc5
0.24,774bc5
0.239,774bc5
0.23800000000000002,77ced8
0.237,7851ea
0.23600000000000002,781061
0.235,789373
0.23399999999999999,791686
0.233,791686
0.23199999999999998,791686
0.231,7a1cab
0.23,7a1cab
0.22899999999999998,7a1cab
0.228,7a9fbd
0.22699999999999998,7b22cf
0.226,7ae146
0.225,7b22cf
0.22399999999999998,7be76b
0.223,7be76b
0.222,7ba5e2
0.221,7ced90
0.22,7cac07
0.21899999999999997,7cac07
0.218,7d70a2
0.217,7df3b5
0.21600000000000003,7d70a2
0.215,7df3b5
0.214,7e76c7
0.213,7e76c7
0.212,7e76c7
0.21100000000000002,7f7cec
0.21,7f7cec
0.209,7f3b63
0.20800000000000002,7fbe75
0.207,808311
0.20600000000000002,7fbe75
0.205,80c49a
0.204,818936
0.203,810623
0.20199999999999999,8147ad
0.201,820c48
0.2,81cabf
0.19899999999999998,820c48
0.198,824dd1
0.19699999999999998,82d0e4
0.196,824dd1
0.195,82d0e4
0.19399999999999998,83957f
0.193,8353f6
0.192,83957f
0.191,84dd2e
0.19,845a1b
0.18899999999999997,849ba4
0.188,84dd2e
0.187,856040
0.18600000000000003,851eb7
0.185,856040
0.184,85e352
0.183,8624dc
0.182,85e352
0.18100000000000002,86e977
0.18,86e977
0.179,86e977
0.17800000000000002,876c8a
0.177,87ef9c
0.17600000000000002,876c8a
0.175,87ef9c
0.174,8872af
0.17300000000000001,8872af
0.172,88b438
0.171,8978d3
0.17,89374a
0.16899999999999998,89374a
0.168,89ba5d
0.16699999999999998,8a7ef8
0.166,89fbe6
0.165,8a7ef8
0.16399999999999998,8b020b
0.163,8ac081
0.162,8b020b
0.161,8c0830
0.16,8bc6a6
0.159,8c0830
0.158,8c49b9
0.157,8ccccb
0.156,8c49b9
0.155,8ccccb
0.154,8d9167
0.153,8d9167
0.152,8d9167
0.151,8e978c
0.15,8e1479
0.149,8e5602
